area_name,total,number_minorities,largest_groups,area_code
St Andrew's,3797,16,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Other Asian']",E36000220
Sutton,5312,14,"['White: Other White', 'Black/African/Caribbean/Black British: African', 'Asian/Asian British: Chinese']",E36000221
University,4167,17,"['White: Other White', 'Asian/Asian British: Chinese', 'Black/African/Caribbean/Black British: African']",E36000222
Beverley Rural,5828,16,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36000223
Bridlington Central and Old Town,4860,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000224
Bridlington North,6437,14,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000225
Bridlington South,6515,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000226
Cottingham North,3437,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Gypsy or Irish Traveller']",E36000227
Cottingham South,4001,15,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000228
Dale,7097,16,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000229
Driffield and Rural,6625,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000230
East Wolds and Coastal,6203,11,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000231
Goole North,4520,16,"['White: Other White', 'White: Irish', 'Asian/Asian British: Chinese']",E36000232
Goole South,4354,17,"['White: Other White', 'Other ethnic group: Any other ethnic group', 'Asian/Asian British: Chinese']",E36000233
Hessle,6306,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000234
Howden,2109,9,"['White: Other White', 'Asian/Asian British: Indian', 'Asian/Asian British: Chinese']",E36000235
Howdenshire,6182,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000236
Mid Holderness,5852,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000237
Minster and Woodmansey,7111,17,"['White: Other White', 'Asian/Asian British: Other Asian', 'White: Irish']",E36000238
North Holderness,4492,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000239
Pocklington Provincial,6894,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000240
"Snaith, Airmyn, Rawcliffe and Marshland",4046,13,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000241
South East Holderness,6380,15,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000242
South Hunsley,4127,14,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000243
South West Holderness,6218,12,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Black Caribbean']",E36000244
St Mary's,7068,16,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000245
Tranby,4272,14,"['White: Other White', 'White: Irish', 'Mixed/multiple ethnic group: White and Asian']",E36000246
Willerby and Kirk Ella,5687,15,"['White: Other White', 'Asian/Asian British: Indian', 'White: Irish']",E36000247
Wolds Weighton,6411,13,"['White: Other White', 'White: Irish', 'Asian/Asian British: Indian']",E36000248
Croft Baker,5605,17,"['White: Other White', 'White: Irish', 'Asian/Asian British: Bangladeshi']",E36000249
